building_code,room_number,start_time,end_time,SUN,MON,TUE,WED,THR,FRI,SAT,start_date,end_date
SCIEN,309,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,105,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,0,1,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,105,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,105,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,103,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,101,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,105,1400,1450,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,400,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,103,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,105,1200,1250,0,1,1,0,1,1,0,01/11/16,04/29/16
SCIEN,103,1200,1250,0,1,1,0,1,1,0,01/11/16,04/29/16
SCIEN,104,1200,1250,0,1,1,0,1,1,0,01/11/16,04/29/16
SCIEN,101,1400,1450,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,104,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,105,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,101,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
SCIEN,101,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,104,1300,1350,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,103,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,406,900,950,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,406,1000,1050,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,406,1100,1150,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,402,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,402,1000,1050,0,1,0,1,0,0,0,01/11/16,04/29/16
CARTER,405,1300,1350,0,1,0,0,0,0,0,01/11/16,04/29/16
CARTER,401,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,401,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,402,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,402,1900,2130,0,0,1,0,0,0,0,01/11/16,04/29/16
CARTER,DSTU,2000,2050,0,0,1,0,0,0,0,01/11/16,04/29/16
CARTER,DSTU,1945,2045,0,0,0,0,1,0,0,01/11/16,04/29/16
CARTER,401,1700,2200,0,0,1,0,0,0,0,01/11/16,04/29/16
CARTER,401,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,402,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,405,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,405,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,402,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,405,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,405,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,401,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
CARTER,405,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,ATTR,1300,1350,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,204,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1100,1330,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,301,1230,1430,0,0,1,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1400,1550,0,0,0,0,1,0,0,01/11/16,04/29/16
BECKLY,HEC,1600,1830,0,1,0,0,0,0,0,01/11/16,04/29/16
BECKLY,HEC,1630,1830,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,400,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,304,1100,1250,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,304,1400,1550,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,304,1600,1750,0,1,0,0,0,0,0,01/11/16,04/29/16
SCIEN,400,1700,1815,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,308,2015,2115,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,400,1830,1945,0,1,0,1,0,0,0,01/11/16,04/29/16
SCIEN,304,1430,1620,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,304,1630,1820,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,309,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
BECKLY,E10,1900,2130,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,310,1400,1630,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,301,1700,1930,0,1,0,0,0,0,0,03/28/16,04/29/16
ADMIN,110,2100,2200,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,300,1300,1415,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,300,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,300,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,300,900,950,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,303,1600,1715,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,124,1300,1350,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,320,1800,2030,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,333,1500,1730,0,0,1,0,0,0,0,01/11/16,04/29/16
SCIEN,300,1800,2030,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,110,1800,2030,0,0,0,1,0,0,0,01/11/16,04/29/16
ADMIN,110,1800,2030,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,310,1830,2100,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,309,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,309,1200,1250,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,301,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
BECKLY,HEC,1900,2130,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,301,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,301,1400,1630,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,309,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,110,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,110,800,850,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,110,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,303,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,110,1400,1515,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,301,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,300,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,109,1230,1345,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,109,1230,1345,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,310,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
SCIEN,210,1300,1415,0,0,0,0,1,0,0,01/11/16,04/29/16
SCIEN,210,1430,1545,0,0,0,0,1,0,0,01/11/16,04/29/16
ADMIN,309,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,237,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,109,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,310,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,310,1400,1630,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,310,1400,1630,0,0,0,1,0,0,0,02/15/16,04/29/16
ADMIN,310,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,110,900,950,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,310,1400,1630,0,1,0,0,0,0,0,02/15/16,04/29/16
ADMIN,109,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,110,800,915,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,310,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,110,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
CARTER,DSTU,1400,1515,0,0,1,0,1,0,0,02/15/16,04/29/16
ADMIN,110,1800,2030,0,0,0,0,1,0,0,02/15/16,04/29/16
ADMIN,320,1400,1515,0,1,0,1,0,0,0,01/11/16,04/29/16
ADMIN,310,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,303,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,237,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,301,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,301,1300,1350,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,309,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,310,1100,1150,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,320,1831,2030,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,333,1500,1730,0,0,1,0,0,0,0,01/11/16,04/29/16
ADMIN,237,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,110,1400,1515,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,309,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,300,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,303,930,1045,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,300,1100,1215,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,303,1000,1050,0,1,0,1,0,1,0,01/11/16,04/29/16
ADMIN,330,1230,1345,0,0,1,0,1,0,0,01/11/16,04/29/16
ADMIN,300,1700,1930,0,1,0,0,0,0,0,01/11/16,04/29/16
ADMIN,300,1630,1900,0,0,1,0,0,0,0,01/11/16,04/29/16
